This is the list of counters for release 0.6

      4 LDS	Area control China +Activation 6
      1 SDS	LeaderDouble Ordo Hospitalis <Grand Maître:G:*m:B 2.2.2 -1/A:m:B 2.2.2>X
      1 SDS	LeaderDouble Ordo Hospitalis <La Valette:G:*m:A 2.5.6 -4/A:m:A 2.5.6>X
      1 SDS	LeaderDouble Crimea <Giray:K::A 4.1.4/K::A 5.1.4>X
      1 SDS	LeaderDouble Hispania <Don Juan:G:*:A 2.3.4/A:m:A 1.4.4>T17
      1 SDS	LeaderDouble Hollandia <van der Marck:G:*:A 4.2.2 -2/A::C 2.2.2>T17
      1 SDS	LeaderDouble Ægyptus <Ĥalīfah:K::A 5.1.4/K::A 3.1.4>X
      1 SDS	LeaderDouble Persia <Shāh:K::A 4.3.3/K::A 5.2.2 -1>X
      1 SDS	LeaderDouble Polonia <Patkul:G::A 4.2.2/K::A 4.2.2>T42
      1 SDS	LeaderDouble Polonia <Sobieski:G::A 4.2.5/K::A 4.2.5>T37
      1 SDS	LeaderDouble Portugallia <Pinto:C:R*:E 6.1.2/E:R:E 4.1.2>T9
      1 SDS	LeaderDouble Portugallia <Albergaria:C:R*:C 4.3.3/E:R:C 4.3.3>T6
      1 SDS	LeaderDouble Portugallia <Albuquerque:C:R*:B 5.5.5 -3/E:PR:B 5.5.5>T5
      1 SDS	LeaderDouble Portugallia <Almeida:A:R*:A 2.4.5/C:R:A 2.4.5 -1>T4
      1 SDS	LeaderDouble Portugallia <Da Gama:C:R*:A 6.4.4 -1/E:R:A 6.4.4>T2
      1 SDS	LeaderDouble Fidelis Regi <Kirke:E:R*:F 4.2.3/A::F 2.2.3>T28
      1 SDS	LeaderDouble Fidelis Regi <Rupert:G:*:C 4.3.4/A::C 3.4.4>P4
      1 SDS	LeaderDouble Russia <Lefort:G:*:A 2.4.3 -1/A::A 2.4.3>T41
      1 SDS	LeaderDouble Russia <M. Galitzine:G:*:A 3.3.3 -1/A::A 3.3.5>T45
      1 SDS	LeaderDouble Russia <Piotr I:K::A 4.4.4 -1/d::A 3.3.4>P5
      1 SDS	LeaderDouble Suecia <K.G. Wrangel:G:*:D 2.3.4/A::A 2.3.4>T31
      1 SDS	LeaderDouble Suecia <K.K. Horn:A:*:A 4.3.3/G::C 3.2.2>T15
      1 SDS	LeaderDouble Turcia <Sınan Paşa:K:*:A 3.4.4 -1/C:R:H 3.4.4>T17
      1 SDS	LeaderDouble Venetia <Morosini:A:m*:A 4.5.5/G::D 2.3.3 -1>T34
      1 SSS	Leader Hispania <?1:A::E 2.2.3>X
      1 SSS	Leader Hispania <?2:A::F 2.4.2>X
      1 SSS	Leader Hispania <?3:P:R:G 4.2.3>X
      1 SSS	Leader Hispania <?4:A:R:M 3.2.2>X
      1 SSS	Leader Hispania <?5:A::N 4.1.2>X
      1 SSS	Leader Hispania <?6:A:PR:O 4.2.2>X
      1 SSS	Leader Hispania <?1:C:R:G 3.2.2>X
      1 SSS	Leader Hispania <?2:C:R:H 4.3.4>X
      1 SSS	Leader Hispania <?3:C:R:E 4.1.2>X
      1 SSS	Leader Hispania <?1:E:R:K 3.2.2>X
      1 SSS	Leader Hispania <?2:E:R:L 5.1.1>X
      1 SSS	Leader Hispania <?3:E:R:H 3.1.1>X
      1 SSS	Leader Hispania <?1:G:R:D 2.3.3>X
      1 SSS	Leader Hispania <?1:g:R:E 3.2.2>X
      1 SSS	Leader Hispania <?2:G::E 2.3.2>X
      1 SSS	Leader Hispania <?2:g:R:E 4.3.2>X
      1 SSS	Leader Hispania <?3:G::F 3.2.1 -1>X
      1 SSS	Leader Hispania <?3:g:R:E 4.2.2>X
      1 SSS	Leader Hispania <?4:G::M 2.2.1 -1>X
      1 SSS	Leader Hispania <?5:G:R:N 3.3.3>X
      1 SSS	Leader Hispania <?6:G::O 4.2.2>X
      1 SSS	Leader Hispania <?A:G:$:D 3.2.2>X
      1 SSS	Leader Hispania <?B:G:$:D 4.3.2>X
      1 SSS	Leader Hispania <?C:G:$:D 4.2.2>X
      1 SSS	Leader Hispania <Antonelli:I:$:D 2.3.1 -2>T20
      1 SSS	Leader Hispania <A Spinola:G::C 3.5.4 -1>T23
      1 SSS	Leader Hispania <Balboa:C:R:H 4.2.2>T3
      1 SSS	Leader Hispania <Benavides:A:R:C 3.1.3>T26
      1 SSS	Leader Hispania <Cardinal-Infante:G::B 4.4.5 -2>T29
      1 SSS	Leader Hispania <Carlos I:K::A 2.2.3>P1
      1 SSS	Leader Hispania <Colón:E:R:H 6.1.1>T1
      1 SSS	Leader Hispania <Córdoba:C:R:J 4.3.2>T6
      1 SSS	Leader Hispania <Córdova:A::B 3.3.3>T53
      1 SSS	Leader Hispania <Coronado:C:R:M 5.2.1>T11
      1 SSS	Leader Hispania <Cortés:C:R:F 5.6.6>T6
      1 SSS	Leader Hispania <de Soto:C:R:L 6.2.2>T10
      1 SSS	Leader Hispania <Don Fadrique:A:R:B 3.3.3>T26
      1 SSS	Leader Hispania <Duque de Alva:G::B 3.4.4>T12
      1 SSS	Leader Hispania <Farnese:G::B 3.4.4>T17
      1 SSS	Leader Hispania <F Spinola:A::E 3.3.2>T23
      1 SSS	Leader Hispania <Gálvez:g:$:A 3.2.3>T56
      1 SSS	Leader Hispania <Garay:C:R:D 4.3.2>T16
      1 SSS	Leader Hispania <Gran Capitán:G::A 4.4.4>T2
      1 SSS	Leader Hispania <Grijalva:C:R:L 4.2.2>T7
      1 SSS	Leader Hispania <León:C:R:I 3.2.2>T4
      1 SSS	Leader Hispania <Magallanes:E:R:H 6.4.2>T6
      1 SSS	Leader Hispania <Medina Sidonia:A::A 2.2.2>T20
      1 SSS	Leader Hispania <Ojeda:C:R:G 3.4.4>T2
      1 SSS	Leader Hispania <Oñate:C:R:F 3.4.4>T22
      1 SSS	Leader Hispania <Orellana:C:R:M 4.2.2>T11
      1 SSS	Leader Hispania <Pinzón:E:R:I 5.2.3>T3
      1 SSS	Leader Hispania <Pizarro:C:R:K 4.4.4 -1>T8
      1 SSS	Leader Hispania <Recalde:A::C 2.3.3>T18
      1 SSS	Leader Hispania <Santa Cruz:A:R:A 3.4.4>T13
      1 SSS	Leader Hispania <Solís:E:R:J 4.4.2>T4
      1 SSS	Leader Hispania <Toledo:g:R:D 4.2.2>T16
      1 SSS	Leader Hispania <Valdez:A::F 2.2.3>T18
      1 SSS	Leader Hispania <Valdivia:C:R:L 4.4.6>T11
      1 SSS	Leader Hispania <Virrey:G:R:B 1.2.2>T47
      1 SSS	Leader Francia <?A:P:R:X 5.1.2>X
      1 SSS	Leader Francia <?B:P::X 5.2.3>X
      1 SSS	Leader Francia <?C:P:R:X 4.3.3>X
      1 SSS	Leader Francia <Bart:P::F 5.4.5>T38
      1 SSS	Leader Francia <Cassard:P:R:E 5.2.4>T44
      1 SSS	Leader Francia <Duguay-Trouin:A:PR:C 5.3.4>T43
      1 SSS	Leader Francia <d’Esnambuc:P:R:E 5.3.3>T41
      1 SSS	Leader Francia <d’Estrées:A:PR:C 2.2.3>T40
      1 SSS	Leader Francia <Forbin:P::G 4.4.4>T42
      1 SSS	Leader Francia <Suffren:A:PR:C 5.4.6>T57
      1 SSS	Leader Francia <d’Annebault:A::B 2.2.2>T11
      1 SSS	Leader Francia <?1:A::H 2.2.3>X
      1 SSS	Leader Francia <?2:A::I 2.3.2>X
      1 SSS	Leader Francia <?3:P:R:J 4.2.3>X
      1 SSS	Leader Francia <?4:A:R:M 3.2.2>X
      1 SSS	Leader Francia <?5:A::N 4.1.2>X
      1 SSS	Leader Francia <?6:A:PR:O 4.2.2>X
      1 SSS	Leader Francia <?1:C:R:O 3.2.2>X
      1 SSS	Leader Francia <?2:C:R:R 4.3.4>X
      1 SSS	Leader Francia <?3:C:R:E 4.1.2>X
      1 SSS	Leader Francia <?1:E:R:O 3.2.2>X
      1 SSS	Leader Francia <?2:E:R:P 5.1.1>X
      1 SSS	Leader Francia <?3:E:R:H 3.1.1>X
      1 SSS	Leader Francia <?1:G:R:E 2.3.3>X
      1 SSS	Leader Francia <?1:g:R:E 3.2.2>X
      1 SSS	Leader Francia <?2:G::F 2.3.2>X
      1 SSS	Leader Francia <?2:g:R:E 4.3.2>X
      1 SSS	Leader Francia <?3:G::G 3.2.1 -1>X
      1 SSS	Leader Francia <?3:g:R:E 4.2.2>X
      1 SSS	Leader Francia <?4:G::M 2.2.1 -1>X
      1 SSS	Leader Francia <?5:G:R:N 3.3.3>X
      1 SSS	Leader Francia <?6:G::O 4.2.2>X
      1 SSS	Leader Francia <Bayard:G::B 1.1.6>T2
      1 SSS	Leader Francia <Benyowsky:g:@:E 3.2.2>T57
      1 SSS	Leader Francia <Berwick:G::B 4.2.3>T43
      1 SSS	Leader Francia <Bienville:g:$:M 3.3.2>T43
      1 SSS	Leader Francia <Bougainville:E:R:K 4.4.4>T55
      1 SSS	Leader Francia <Bretigny:E:$:O 4.2.2>T35
      1 SSS	Leader Francia <Broglie:G::B 4.4.4>T53
      1 SSS	Leader Francia <Bussy:C:@:K 5.4.5>T54
      1 SSS	Leader Francia <Cartier:E:R:M 4.2.2>T9
      1 SSS	Leader Francia <Catinat:G::A 1.2.2>T42
      1 SSS	Leader Francia <Champlain:C:R:O 4.4.4>T23
      1 SSS	Leader Francia <Châteaurenault:A:R:D 3.3.4>T38
      1 SSS	Leader Francia <Conflans:A::A 1.2.2>T55
      1 SSS	Leader Francia <de Grasse:A:R:A 3.3.3>T56
      1 SSS	Leader Francia <Dupleix:C:@:O 4.6.6>T50
      1 SSS	Leader Francia <Duquesne:A::A 4.4.4>T34
      1 SSS	Leader Francia <d’Estaing:A:R:B 1.3.3>T58
      1 SSS	Leader Francia <F Guise:G::A 2.2.4 -1>T8
      1 SSS	Leader Francia <Foix:G::A 3.2.4>T1
      1 SSS	Leader Francia <Frontenac:g:$:M 4.4.2 -1>T38
      1 SSS	Leader Francia <Grand Condé:G::A 4.3.4>T31
      1 SSS	Leader Francia <d’Iberville:G:$:D 4.3.3>T40
      1 SSS	Leader Francia <La Bourdonnais:A:@:G 3.4.3>T51
      1 SSS	Leader Francia <La Galissonnière:A::I 5.2.3>T51
      1 SSS	Leader Francia <Lally:g:@:F 5.4.4>T51
      1 SSS	Leader Francia <La Pérouse:E:R:K 5.1.1>T59
      1 SSS	Leader Francia <La Salle:C:R:P 6.2.3>T39
      1 SSS	Leader Francia <Luxembourg:G::E 2.3.3>T35
      1 SSS	Leader Francia <Maillé-Brézé:A::A 3.3.4>T30
      1 SSS	Leader Francia <Montcalm:G:$:J 3.4.6>T53
      1 SSS	Leader Francia <Montmorency:G::A 3.3.3>T14
      1 SSS	Leader Francia <Ribault:C:R:P 3.2.2>T15
      1 SSS	Leader Francia <Richelieu:G::A 3.4.2>T52
      1 SSS	Leader Francia <Roberval:E:PR:L 3.3.2>T11
      1 SSS	Leader Francia <Rochambeau:G:R:A 1.2.2>T58
      1 SSS	Leader Francia <Sourdis:A:R:B 4.3.3>T30
      1 SSS	Leader Francia <Tourville:A::B 4.3.5>T39
      1 SSS	Leader Francia <Turenne:G::B 5.4.6 -1>T33
      1 SSS	Leader Francia <Vauban:I::F 1.1.1 -4>T37
      1 SSS	Leader Francia <Vaudreuil:g:$:K 3.3.4>T52
      1 SSS	Leader Francia <Vendôme:G::C 2.3.3>T41
      1 SSS	Leader Francia <Verrazzano:E:R:D 5.1.2>T7
      1 SSS	Leader Francia <Villars:G::D 4.5.5 -1>T40
      1 SSS	Leader Genua <A. Doria:A:m♥:A 5.4.4>T7
      1 SSS	Leader Genua <G.A. Doria:A:m:B 4.3.4>T16
      1 SSS	Leader Habsburgum <Wallenstein:G::A 4.5.5 -1>P4
      1 SSS	Leader Habsburgum <Alvinczy:G::C 3.2.3>T61
      1 SSS	Leader Habsburgum <?1:G::E 2.3.3>X
      1 SSS	Leader Habsburgum <?2:G::F 4.3.4>X
      1 SSS	Leader Habsburgum <?3:G::A 3.2.2>X
      1 SSS	Leader Habsburgum <?4:G::H 2.4.1>X
      1 SSS	Leader Habsburgum <?5:G::F 3.2.1 -1>X
      1 SSS	Leader Habsburgum <?6:G::I 4.2.3>X
      1 SSS	Leader Habsburgum <Browne:G::C 3.3.4>T52
      1 SSS	Leader Habsburgum <Charles V de Lorraine:G::A 4.2.4 -1>T37
      1 SSS	Leader Habsburgum <Coburg:G::A 3.3.4 -1>T60
      1 SSS	Leader Habsburgum <Commercy:G::E 4.2.4>T39
      1 SSS	Leader Habsburgum <Daun:G::B 4.4.4>T50
      1 SSS	Leader Habsburgum <E. Starhemberg:I::D 2.3.2 -1>T39
      1 SSS	Leader Habsburgum <F. Lacy:G::E 3.2.3>T54
      1 SSS	Leader Habsburgum <G. Starhemberg:G::D 3.3.3 -1>T43
      1 SSS	Leader Habsburgum <Karl:G::B 4.3.5>T62
      1 SSS	Leader Habsburgum <Laudon:G::C 4.3.4 -1>T54
      1 SSS	Leader Habsburgum <Matthias:G::A 3.2.4>T21
      1 SSS	Leader Habsburgum <Montecuccoli:G::B 4.4.3 -1>T30
      1 SSS	Leader Habsburgum <Nádasdy:G::G 4.2.3>T53
      1 SSS	Leader Habsburgum <Pappenheim:G::A 3.4.3>T27
      1 SSS	Leader Habsburgum <Prinz Eugen:G::A 5.5.5 -1>T40
      1 SSS	Leader Habsburgum <Traun:G::C 3.3.3 -1>T49
      1 SSS	Leader Habsburgum <TürkenLouis:G::C 4.3.4>T39
      1 SSS	Leader Hollandia <?1:A::G 2.2.3>X
      1 SSS	Leader Hollandia <?2:A::H 3.2.2>X
      1 SSS	Leader Hollandia <?3:P:R:I 4.2.3>X
      1 SSS	Leader Hollandia <?4:A:R:M 3.2.2>X
      1 SSS	Leader Hollandia <?5:A::N 4.1.2>X
      1 SSS	Leader Hollandia <?6:A:PR:O 4.2.2>X
      1 SSS	Leader Hollandia <?1:C:R:G 3.2.2>X
      1 SSS	Leader Hollandia <?2:C:R:K 4.3.4>X
      1 SSS	Leader Hollandia <?3:C:R:E 4.1.2>X
      1 SSS	Leader Hollandia <?1:E:R:G 3.2.2>X
      1 SSS	Leader Hollandia <?2:E:R:H 5.1.1>X
      1 SSS	Leader Hollandia <?3:E:R:H 4.2.3>X
      1 SSS	Leader Hollandia <?1:g:R:E 3.2.2>X
      1 SSS	Leader Hollandia <?1:G:R:F 2.3.4>X
      1 SSS	Leader Hollandia <?2:G::G 2.3.2>X
      1 SSS	Leader Hollandia <?2:g:R:E 4.3.2>X
      1 SSS	Leader Hollandia <?3:G::H 3.2.1 -1>X
      1 SSS	Leader Hollandia <?3:g:R:E 4.2.2>X
      1 SSS	Leader Hollandia <?4:G::M 2.2.1 -1>X
      1 SSS	Leader Hollandia <?5:G:R:N 3.3.3>X
      1 SSS	Leader Hollandia <?6:G::O 4.2.2>X
      1 SSS	Leader Hollandia <Banckert:A:R:C 3.3.4>T35
      1 SSS	Leader Hollandia <Coehoorn:I::B 1.2.0 -3>T40
      1 SSS	Leader Hollandia <C. Tromp:A::C 4.3.4>T34
      1 SSS	Leader Hollandia <de Graaf:E:PR:I 5.2.1>T39
      1 SSS	Leader Hollandia <de Ruyter:A:R:B 5.6.4>T33
      1 SSS	Leader Hollandia <Evertsen:A:R:D 4.4.4>T36
      1 SSS	Leader Hollandia <Frederik Hendrik:K::A 4.4.3 -1>T27
      1 SSS	Leader Hollandia <Heemskerk:A:R:B 5.4.4>T23
      1 SSS	Leader Hollandia <Hein:A:PR:A 4.4.3>T27
      1 SSS	Leader Hollandia <Houtman:E:PR:F 6.6.4>T21
      1 SSS	Leader Hollandia <Keppel:A::F 4.2.3>T42
      1 SSS	Leader Hollandia <L. Nassau:G::C 2.3.3 -1>T15
      1 SSS	Leader Hollandia <Minuit:C:$:E 5.3.2>T27
      1 SSS	Leader Hollandia <M. Nassau:K::A 4.5.5 -1>T20
      1 SSS	Leader Hollandia <M. Tromp:A:R:A 5.5.6>T30
      1 SSS	Leader Hollandia <Overkirk:G::A 3.4.4>T43
      1 SSS	Leader Hollandia <Pomp:E:R:H 5.1.1>T21
      1 SSS	Leader Hollandia <Stuyvesant:g:$:E 3.4.4>T32
      1 SSS	Leader Hollandia <Tasman:E:R:I 6.6.2>T31
      1 SSS	Leader Hollandia <van Riebeeck:C:R:E 2.4.2>T33
      1 SSS	Leader Hollandia <Willem III:K::A 3.3.3>T37
      1 SSS	Leader Hollandia <Willem I:K::A 3.3.2 -1>P3
      1 SSS	Leader Hollande <Coen:C:R:D 4.6.4 -2>T24
      1 SSS	Leader Hollande <Maetsuycker:C:@:B 5.3.3>T32
      1 SSS	Leader Hollande <van Diemen:C:@:D 5.3.3>T28
      1 SSS	Leader Hungaria <Bethlén:G::A 4.2.3>P4
      1 SSS	Leader Hungaria <II. Lajos:G::A 2.2.3>T6
      1 SSS	Leader Hungaria <Zrinski:G::C 4.3.4 -1>T11
      1 SSS	Leader Huguenotis <Coligny:G::A 3.3.3>P3
      1 SSS	Leader Huguenotis <Condé:G::A 4.3.4>P3
      1 SSS	Leader Lituania <?1:G::B 3.1.3>X
      1 SSS	Leader Lituania <?6:G::A 5.2.3>X
      1 SSS	Leader Lituania <Chodkiewicz:G::B 4.3.2>T23
      1 SSS	Leader Lituania <Ostrogiškis:G::B 4.2.3>T5
      1 SSS	Leader Condotierri <?7:C:R:B 4.2.3>X
      1 SSS	Leader Condotierri <?6:E:R:B 5.1.1>X
      1 SSS	Leader Condotierri <?1:G::B 2.2.3>X
      1 SSS	Leader Condotierri <?2:G::C 3.2.2>X
      1 SSS	Leader Condotierri <?3:G::D 4.2.4>X
      1 SSS	Leader Condotierri <?4:G::B 3.2.3>X
      1 SSS	Leader Condotierri <?5:G::B 4.2.2>X
      1 SSS	Leader Mogolis Imp. <Akbar ﺮﺒﻛﺍ:K:@:A 5.4.4>P3
      1 SSS	Leader Mogolis Imp. <Great Mughal:K:@:A 3.3.4>X
      1 SSS	Leader Barbaria <?1:G:R:D 1.0.4>X
      1 SSS	Leader Barbaria <?2:G:R:D 4.0.5>X
      1 SSS	Leader Barbaria <?3:G:R:D 4.1.2>X
      1 SSS	Leader Barbaria <?4:G:R:D 5.1.3>X
      1 SSS	Leader Barbaria <?5:G:R:D 3.2.2>X
      1 SSS	Leader Barbaria <?6:G:R:D 1.1.4>X
      1 SSS	Leader Quidam <?10:A::J 4.2.2>X
      1 SSS	Leader Quidam <?11:A::K 2.2.1>X
      1 SSS	Leader Quidam <?12:A::L 1.3.2>X
      1 SSS	Leader Quidam <?1:A::A 4.3.4>X
      1 SSS	Leader Quidam <?2:A::B 1.1.1>X
      1 SSS	Leader Quidam <?3:A::C 2.2.2>X
      1 SSS	Leader Quidam <?4:A::D 2.4.3>X
      1 SSS	Leader Quidam <?5:A::E 2.2.1>X
      1 SSS	Leader Quidam <?6:A::F 1.2.1>X
      1 SSS	Leader Quidam <?7:A::G 4.4.4>X
      1 SSS	Leader Quidam <?8:A::H 3.2.2>X
      1 SSS	Leader Quidam <?9:A::I 4.1.2>X
      1 SSS	Leader Quidam <?10:G::K 4.2.2>X
      1 SSS	Leader Quidam <?11:G::L 1.1.2>X
      1 SSS	Leader Quidam <?12:G::M 3.2.1>X
      1 SSS	Leader Quidam <?1:G::A 1.1.1>X
      1 SSS	Leader Quidam <?2:G::B 3.4.2>X
      1 SSS	Leader Quidam <?3:G::C 2.4.4>X
      1 SSS	Leader Quidam <?4:G::D 4.1.3>X
      1 SSS	Leader Quidam <?5:G::E 3.2.3>X
      1 SSS	Leader Quidam <?6:G::F 2.3.4>X
      1 SSS	Leader Quidam <?7:G::G 2.2.2>X
      1 SSS	Leader Quidam <?8:G::I 2.2.1 -1>X
      1 SSS	Leader Quidam <?9:G::J 3.3.3>X
      1 SSS	Leader Ayman <’Emīru albahr:P:R:A 2.2.2>X
      1 SDS	LeaderPair Algeria <Barbarossa:d:Pm♥*:A 5.4.5> | Turcia <Barbaros:A:Pm♥:A 5.4.5>T5
      1 SDS	LeaderPair Anglia <Washington:g:$:I 6.2.2> | U.S.A. <Washington:G:$:A 6.2.2>T55
      1 SDS	LeaderPair Francia <de Saxe:G::A 4.4.5 -1> | Curlandia <von Sachsen:G::A 4.4.5 -1>T50
      1 SDS	LeaderPair Francia <La Fayette:G:R:I 4.2.2> | U.S.A. <La Fayette:G:$:H 4.2.2>T58
      1 SDS	LeaderPair Hollandia <Brouwer:E:*PR:F 5.2.2> | Hollandia <Brouwer:C:R:C 3.2.2>T23
      1 SDS	LeaderPair Hollandia <Johan Maurits:C:$*:B 3.4.3> | Hollandia <Johan Maurits:G::A 3.4.3>T29
      1 SDS	LeaderPair Huguenotis <Navarre:G::A 2.3.3 -1> | Francia <Henri IV:K::A 2.3.3 -1>P3
      1 SDS	LeaderPair Polonia <?3:G::K 4.2.2> | Lituania <?3:G::K 4.2.2>X
      1 SDS	LeaderPair Polonia <?5:G::A 4.1.2> | Lituania <?5:G::A 4.1.2>X
      1 SDS	LeaderPair Polonia <Poniatowski:G::C 3.2.2> | Suecia <Poniatowski:G::C 3.2.2>T43
      1 SDS	LeaderPair Prussia <Ferdinand:G::D 4.3.4> | Prussia <Ferdinand:G::A 4.3.4>T52
      1 SDS	LeaderPair Sancta Lega <Guise:G::A 2.2.4 -1> | Francia <Henri de Guise:K::A 2.2.4 -1>P3
      1 SDS	LeaderPair Suecia <Sachsen-Weimar:G::A 3.4.4 -1> | Francia <Saxe-Weimar:G::B 3.4.4 -1>P4
      1 SDS	LeaderPair Tunesia <Dragut:d:Pm*:A 5.2.4> | Turcia <Dragut:A:Pm:D 5.2.4>T10
      1 SDS	LeaderPair Ukraina <Báthory:G::B 5.2.4> | Polonia <Batory:K::A 5.2.4>T17
      1 SSS	Leader Palatinatus <Johann Kasimir:G::E 3.2.3>P3
      1 SSS	Leader Palatinatus <Mansfeld:G::A 2.3.4>P4
      1 SSS	Leader Sancta Sedes <Colonna:A:m:A 2.3.3>T13
      1 SSS	Leader Persia <Shāh ’Abbās I:K:R:A 3.4.4 -1>P3
      1 SSS	Leader Persia <Nādir Shāh:K:R:A 3.4.4 -1>P6
      1 SSS	Leader Piratæ <Avery:P::P 4.2.3>T40
      1 SSS	Leader Piratæ <Blackbeard:P:$:A 5.3.4>T45
      1 SSS	Leader Piratæ <Bonnet:P:$:D 2.1.1>T45
      1 SSS	Leader Piratæ <Bonny:P:$:C 4.3.3>T47
      1 SSS	Leader Piratæ <Burgess:P:$:B 3.2.2>T41
      1 SSS	Leader Piratæ <Easton:P:$:B 4.2.2>T24
      1 SSS	Leader Piratæ <England:P:@:C 3.3.2>T45
      1 SSS	Leader Piratæ <Jambe de bois:P:$:B 2.2.3>T12
      1 SSS	Leader Piratæ <Kidd:P:@:A 2.4.4>T41
      1 SSS	Leader Piratæ <La Buse:P:@:A 4.2.2>T46
      1 SSS	Leader Piratæ <Legrand:P:$:A 2.3.2>T21
      1 SSS	Leader Piratæ <Misson:P:@:B 3.1.2>T42
      1 SSS	Leader Piratæ <L’Olonnais:P:$:B 2.3.4>T34
      1 SSS	Leader Piratæ <Roberts:P:$:B 5.2.2>T46
      1 SSS	Leader Polonia <?1:A::F 2.1.3>X
      1 SSS	Leader Polonia <?2:A::G 3.2.1>X
      1 SSS	Leader Polonia <?1:C:R:J 3.2.2>X
      1 SSS	Leader Polonia <?2:C:R:K 4.3.4>X
      1 SSS	Leader Polonia <?3:C:R:E 4.1.2>X
      1 SSS	Leader Polonia <?1:E:R:G 3.2.2>X
      1 SSS	Leader Polonia <?2:E:R:H 5.1.1>X
      1 SSS	Leader Polonia <?3:E:R:H 3.1.1>X
      1 SSS	Leader Polonia <?2:G::C 4.2.1>X
      1 SSS	Leader Polonia <?4:G::E 4.2.3>X
      1 SSS	Leader Polonia <Beniowski:G::B 4.2.2>T55
      1 SSS	Leader Polonia <Czarniecki:G::C 6.2.2>T33
      1 SSS	Leader Polonia <Koniecpolski:G::B 5.3.4>T26
      1 SSS	Leader Polonia <Kościuszko:G::D 3.4.4>P7
      1 SSS	Leader Polonia <Potocki:G::A 4.2.1>T28
      1 SSS	Leader Polonia <Tarnowski:G::A 5.2.4>T8
      1 SSS	Leader Polonia <Zamoyski:G::A 3.3.2>T19
      1 SSS	Leader Polonia <Zasławski:G::B 3.1.1>T30
      1 SSS	Leader Polonia <Żółkiewski:G::A 4.2.3>T24
      1 SSS	Leader Polonia <Zygmunt III:K::A 4.3.4>P3
      1 SSS	Leader Portugallia <Abreu:E:R:G 4.2.2>T4
      1 SSS	Leader Portugallia <?1:A::C 2.2.3>X
      1 SSS	Leader Portugallia <?2:A::D 3.2.2>X
      1 SSS	Leader Portugallia <?3:P:R:E 4.2.3>X
      1 SSS	Leader Portugallia <?4:A::E 3.2.2>X
      1 SSS	Leader Portugallia <?1:C:R:F 3.2.2>X
      1 SSS	Leader Portugallia <?2:C:R:I 4.3.4>X
      1 SSS	Leader Portugallia <?3:C:R:E 4.1.2 -1>X
      1 SSS	Leader Portugallia <?1:E:R:H 3.2.2>X
      1 SSS	Leader Portugallia <?2:E:R:I 4.2.2>X
      1 SSS	Leader Portugallia <?3:E:R:H 5.2.2>X
      1 SSS	Leader Portugallia <?1:G:R:B 2.3.3>X
      1 SSS	Leader Portugallia <?2:G::C 2.3.2>X
      1 SSS	Leader Portugallia <?3:G::D 3.2.1 -1>X
      1 SSS	Leader Portugallia <?4:G:R:E 3.3.3 -1>X
      1 SSS	Leader Portugallia <Brito:E:R:H 4.2.2>T7
      1 SSS	Leader Portugallia <Cabral:E:R:F 5.4.4>T2
      1 SSS	Leader Portugallia <Dias:E:R:G 6.5.4>T1
      1 SSS	Leader Portugallia <Galvão:C:R:D 4.2.3>T9
      1 SSS	Leader Portugallia <Pires de Andrade:E:R:H 5.1.1>T5
      1 SSS	Leader Portugallia <Serrão:E:R:H 4.1.1>T5
      1 SSS	Leader Portugallia <de Castro:C:R:B 4.3.4>T10
      1 SSS	Leader Portugallia <Noronha:C:R:B 3.2.2>T13
      1 SSS	Leader Prussia <Friedrich II:K:♥:A 6.6.6 -1>T51
      1 SSS	Leader Prussia <Alte Dessauer:G::A 4.4.4>T45
      1 SSS	Leader Prussia <?1:G::D 2.2.2>X
      1 SSS	Leader Prussia <?2:G::E 1.2.2>X
      1 SSS	Leader Prussia <?3:G::G 4.3.3>X
      1 SSS	Leader Prussia <?4:G::H 3.4.4>X
      1 SSS	Leader Prussia <?5:G::G 3.2.2>X
      1 SSS	Leader Prussia <?6:G::H 1.2.3 -1>X
      1 SSS	Leader Prussia <?7:G::G 2.2.2 -1>X
      1 SSS	Leader Prussia <?8:G::H 2.3.1 -1>X
      1 SSS	Leader Prussia <Braunschweig-Bevern:G::E 5.3.3>T54
      1 SSS	Leader Prussia <Friedrich-Wilhelm:K::A 2.3.3>P4
      1 SSS	Leader Prussia <Heinrich:G::C 4.3.5 -1>T52
      1 SSS	Leader Prussia <Hohenlohe:G::C 3.2.3>T60
      1 SSS	Leader Prussia <K. Braunschweig:G::A 4.3.2>T58
      1 SSS	Leader Prussia <Leopold II.:G::D 2.2.3 -2>T50
      1 SSS	Leader Prussia <Schwerin:G::B 4.4.4 -1>T49
      1 SSS	Leader Prussia <Seydlitz:G::F 4.2.6>T54
      1 SSS	Leader Rebellis <Ackbar:A::A 6.4.4>X
      1 SSS	Leader Rebellis <Pugachev:G::A 4.2.3>P7
      1 SSS	Leader Révolutionnaires <Bonaparte:G::E 6.6.6 -3>P7
      1 SSS	Leader Fidelis Regi <Montrose:G::B 4.2.3>P4
      1 SSS	Leader Fidelis Regi <Prince Charles:G::A 2.2.4>P6
      1 SSS	Leader Russia <?1:A::F 2.2.3>X
      1 SSS	Leader Russia <?2:A::G 3.2.2>X
      1 SSS	Leader Russia <?3:P:R:H 4.2.3>X
      1 SSS	Leader Russia <?4:A:R:M 3.2.2>X
